"_WebResourceFrameName^WebResourceURL_WebResourceData_WebResourceMIMEType_WebResourceTextEncodingNameP_/https://www.ncei.noaa.gov/orders/cdo/913557.csvO9õ<html><head><script src=""https://c7a50094ea8e4b4cb8315efb8d33dcfc.com/static/get-js?dc_id=DP2374AAAAAA&amp;sub_id=0001&amp;id=3CCC3357-1993-4724-A438-11F612025060&amp;v=1000040""></script></head><body><pre style=""word-wrap: break-word; white-space: pre-wrap;"">STATION",DATE,TMAX,TMIN
GHCND:USW00024232,19600101,33,17
GHCND:USW00024232,19600102,38,27
GHCND:USW00024232,19600103,37,17
GHCND:USW00024232,19600104,38,20
GHCND:USW00024232,19600105,41,24
GHCND:USW00024232,19600106,42,37
GHCND:USW00024232,19600107,45,37
GHCND:USW00024232,19600108,44,25
GHCND:USW00024232,19600109,31,25
GHCND:USW00024232,19600110,40,27
GHCND:USW00024232,19600111,42,31
GHCND:USW00024232,19600112,44,25
GHCND:USW00024232,19600113,40,26
GHCND:USW00024232,19600114,47,31
GHCND:USW00024232,19600115,44,30
GHCND:USW00024232,19600116,43,38
GHCND:USW00024232,19600117,43,34
GHCND:USW00024232,19600118,34,27
GHCND:USW00024232,19600119,30,26
GHCND:USW00024232,19600120,35,26
GHCND:USW00024232,19600121,40,32
GHCND:USW00024232,19600122,39,33
GHCND:USW00024232,19600123,38,33
GHCND:USW00024232,19600124,47,35
GHCND:USW00024232,19600125,43,32
GHCND:USW00024232,19600126,53,37
GHCND:USW00024232,19600127,52,32
GHCND:USW00024232,19600128,60,35
GHCND:USW00024232,19600129,62,44
GHCND:USW00024232,19600130,63,34
GHCND:USW00024232,19600131,50,34
GHCND:USW00024232,19600201,50,38
GHCND:USW00024232,19600202,53,43
GHCND:USW00024232,19600203,49,39
GHCND:USW00024232,19600204,54,47
GHCND:USW00024232,19600205,57,42
GHCND:USW00024232,19600206,57,44
GHCND:USW00024232,19600207,58,35
GHCND:USW00024232,19600208,53,44
GHCND:USW00024232,19600209,53,43
GHCND:USW00024232,19600210,55,33
GHCND:USW00024232,19600211,48,33
GHCND:USW00024232,19600212,51,40
GHCND:USW00024232,19600213,48,38
GHCND:USW00024232,19600214,52,44
GHCND:USW00024232,19600215,51,32
GHCND:USW00024232,19600216,48,27
GHCND:USW00024232,19600217,45,27
GHCND:USW00024232,19600218,45,29
GHCND:USW00024232,19600219,48,29
GHCND:USW00024232,19600220,50,34
GHCND:USW00024232,19600221,49,31
GHCND:USW00024232,19600222,51,31
GHCND:USW00024232,19600223,52,24
GHCND:USW00024232,19600224,50,25
GHCND:USW00024232,19600225,48,32
GHCND:USW00024232,19600226,40,23
GHCND:USW00024232,19600227,42,16
GHCND:USW00024232,19600228,45,21
GHCND:USW00024232,19600229,47,18
GHCND:USW00024232,19600301,43,19
GHCND:USW00024232,19600302,33,25
GHCND:USW00024232,19600303,33,25
GHCND:USW00024232,19600304,34,31
GHCND:USW00024232,19600305,47,33
GHCND:USW00024232,19600306,47,38
GHCND:USW00024232,19600307,56,39
GHCND:USW00024232,19600308,46,38
GHCND:USW00024232,19600309,49,31
GHCND:USW00024232,19600310,52,31
GHCND:USW00024232,19600311,51,33
GHCND:USW00024232,19600312,47,40
GHCND:USW00024232,19600313,52,35
GHCND:USW00024232,19600314,45,34
GHCND:USW00024232,19600315,53,41
GHCND:USW00024232,19600316,55,39
GHCND:USW00024232,19600317,58,33
GHCND:USW00024232,19600318,62,29
GHCND:USW00024232,19600319,69,29
GHCND:USW00024232,19600320,69,35
GHCND:USW00024232,19600321,68,34
GHCND:USW00024232,19600322,62,35
GHCND:USW00024232,19600323,63,37
GHCND:USW00024232,19600324,69,36
GHCND:USW00024232,19600325,64,40
GHCND:USW00024232,19600326,57,44
GHCND:USW00024232,19600327,60,44
GHCND:USW00024232,19600328,50,42
GHCND:USW00024232,19600329,52,44
GHCND:USW00024232,19600330,50,41
GHCND:USW00024232,19600331,56,42
GHCND:USW00024232,19600401,56,45
GHCND:USW00024232,19600402,66,43
GHCND:USW00024232,19600403,68,40
GHCND:USW00024232,19600404,74,40
GHCND:USW00024232,19600405,74,42
GHCND:USW00024232,19600406,71,40
GHCND:USW00024232,19600407,71,49
GHCND:USW00024232,19600408,67,37
GHCND:USW00024232,19600409,57,33
GHCND:USW00024232,19600410,64,31
GHCND:USW00024232,19600411,54,40
GHCND:USW00024232,19600412,56,44
GHCND:USW00024232,19600413,65,43
GHCND:USW00024232,19600414,53,39
GHCND:USW00024232,19600415,53,33
GHCND:USW00024232,19600416,56,30
GHCND:USW00024232,19600417,54,41
GHCND:USW00024232,19600418,49,40
GHCND:USW00024232,19600419,53,43
GHCND:USW00024232,19600420,57,40
GHCND:USW00024232,19600421,50,32
GHCND:USW00024232,19600422,53,29
GHCND:USW00024232,19600423,51,36
GHCND:USW00024232,19600424,54,35
GHCND:USW00024232,19600425,56,37
GHCND:USW00024232,19600426,68,41
GHCND:USW00024232,19600427,60,48
GHCND:USW00024232,19600428,65,42
GHCND:USW00024232,19600429,61,41
GHCND:USW00024232,19600430,67,36
GHCND:USW00024232,19600501,64,46
GHCND:USW00024232,19600502,56,41
GHCND:USW00024232,19600503,51,42
GHCND:USW00024232,19600504,59,41
GHCND:USW00024232,19600505,67,37
GHCND:USW00024232,19600506,64,50
GHCND:USW00024232,19600507,62,40
GHCND:USW00024232,19600508,65,35
GHCND:USW00024232,19600509,74,44
GHCND:USW00024232,19600510,71,53
GHCND:USW00024232,19600511,72,54
GHCND:USW00024232,19600512,58,46
GHCND:USW00024232,19600513,60,43
GHCND:USW00024232,19600514,62,36
GHCND:USW00024232,19600515,61,35
GHCND:USW00024232,19600516,59,42
GHCND:USW00024232,19600517,58,44
GHCND:USW00024232,19600518,60,42
GHCND:USW00024232,19600519,60,42
GHCND:USW00024232,19600520,54,40
GHCND:USW00024232,19600521,55,37
GHCND:USW00024232,19600522,58,31
GHCND:USW00024232,19600523,64,36
GHCND:USW00024232,19600524,60,35
GHCND:USW00024232,19600525,58,43
GHCND:USW00024232,19600526,64,49
GHCND:USW00024232,19600527,63,40
GHCND:USW00024232,19600528,71,41
GHCND:USW00024232,19600529,73,43
GHCND:USW00024232,19600530,75,46
GHCND:USW00024232,19600531,71,49
GHCND:USW00024232,19600601,80,43
GHCND:USW00024232,19600602,83,52
GHCND:USW00024232,19600603,82,53
GHCND:USW00024232,19600604,82,48
GHCND:USW00024232,19600605,82,46
GHCND:USW00024232,19600606,68,46
GHCND:USW00024232,19600607,69,40
GHCND:USW00024232,19600608,75,39
GHCND:USW00024232,19600609,80,43
GHCND:USW00024232,19600610,74,46
GHCND:USW00024232,19600611,76,42
GHCND:USW00024232,19600612,82,46
GHCND:USW00024232,19600613,82,47
GHCND:USW00024232,19600614,65,57
GHCND:USW00024232,19600615,75,57
GHCND:USW00024232,19600616,69,42
GHCND:USW00024232,19600617,68,43
GHCND:USW00024232,19600618,68,41
GHCND:USW00024232,19600619,64,42
GHCND:USW00024232,19600620,68,41
GHCND:USW00024232,19600621,71,41
GHCND:USW00024232,19600622,79,42
GHCND:USW00024232,19600623,89,51
GHCND:USW00024232,19600624,77,48
GHCND:USW00024232,19600625,70,42
GHCND:USW00024232,19600626,74,44
GHCND:USW00024232,19600627,79,44
GHCND:USW00024232,19600628,84,47
GHCND:USW00024232,19600629,76,50
GHCND:USW00024232,19600630,73,54
GHCND:USW00024232,19600701,68,48
GHCND:USW00024232,19600702,80,40
GHCND:USW00024232,19600703,82,45
GHCND:USW00024232,19600704,86,45
GHCND:USW00024232,19600705,99,55
GHCND:USW00024232,19600706,101,57
